episode,global_step,epsilon,scalar_return,loss,mse,ssim,k,k_effective,cost,actions
1,2,0.9993666666666666,0.10911453515291214,,0.0023062494583427906,0.7860097233222645,1,1,0.1111111111111111,8 10
2,7,0.9977833333333334,0.16623391211032867,,0.0006524226628243923,0.9386318469869679,4,4,0.4444444444444444,3 4 5 6 10
3,11,0.9965166666666667,0.04122143238782883,,0.0008564235176891088,0.9081694614961655,3,3,0.3333333333333333,8 5 9 10
4,19,0.9939833333333333,-0.3454354703426361,,0.0006317737861536443,0.924216018828002,7,7,0.7777777777777778,2 6 4 7 5 1 9 10
5,28,0.9911333333333333,0.33756500482559204,,0.001136177801527083,0.8992367424558091,8,8,0.8888888888888888,2 4 1 6 8 9 7 5 10
6,34,0.9892333333333333,0.32686612010002136,,0.001022778102196753,0.8954606952409256,5,5,0.5555555555555556,9 3 7 5 6 10
7,39,0.98765,-0.14096947014331818,,0.0005939966067671776,0.9299242685014087,4,4,0.4444444444444444,9 2 5 1 10
8,41,0.9870166666666667,0.0009595304727554321,,0.001075230073183775,0.8606651243593159,1,1,0.1111111111111111,9 10
9,47,0.9851166666666666,0.28545981645584106,,0.0011348314583301544,0.9100674955477754,5,5,0.5555555555555556,1 5 9 7 6 10
10,54,0.9829,0.32782554626464844,,0.0008553127991035581,0.9302645927377037,6,6,0.6666666666666666,2 9 5 6 8 4 10
11,63,0.98005,-0.3726158142089844,,0.0003453679964877665,0.9657643216614491,8,8,0.8888888888888888,7 8 3 1 2 5 9 4 10
12,71,0.9775166666666667,-0.06701546907424927,,0.0017496992368251085,0.8754001992724738,7,7,0.7777777777777778,3 5 8 6 7 2 9 10
13,76,0.9759333333333333,0.28710538148880005,,0.002088910201564431,0.8720381481708088,4,4,0.4444444444444444,6 9 2 3 10
14,85,0.9730833333333333,-0.4610964059829712,,0.00038265169132500887,0.9554485108318,9,9,1.0,8 2 5 7 4 9 6 3 1
15,88,0.9721333333333333,0.3763643205165863,,0.0018727949354797602,0.8794147993862079,2,2,0.2222222222222222,5 3 10
16,93,0.97055,0.009906746447086334,,0.0028153355233371258,0.8247265125426612,4,4,0.4444444444444444,6 2 9 4 10
17,98,0.9689666666666666,0.00835275650024414,,0.0006570566329173744,0.9461810773285051,4,4,0.4444444444444444,6 1 4 2 10
18,100,0.9683333333333334,0.1334400773048401,,0.0019556432962417603,0.800921233774547,1,1,0.1111111111111111,3 10
19,104,0.9670666666666666,0.45293858647346497,,0.0005224489141255617,0.9122306733756513,3,3,0.3333333333333333,2 8 4 10
20,106,0.9664333333333334,0.2136620581150055,,0.0023845075629651546,0.8251365632190858,1,1,0.1111111111111111,8 10
21,108,0.9658,0.053220368921756744,,0.0011728492099791765,0.886545326875237,1,1,0.1111111111111111,3 10
22,109,0.9654833333333334,0.0,,0.002150712301954627,0.7679219787539504,0,0,0.0,10
23,113,0.9642166666666667,-0.036052390933036804,,0.000676613999530673,0.9277072937784807,3,3,0.3333333333333333,7 5 8 10
24,122,0.9613666666666667,-0.061570242047309875,,0.0006980064790695906,0.9211397613448564,8,8,0.8888888888888888,9 8 3 4 5 1 2 7 10
25,128,0.9594666666666667,-0.19487792253494263,0.013911708258092403,0.0004900325438939035,0.9433808290575687,5,5,0.5555555555555556,5 4 1 2 6 10
26,133,0.9578833333333333,0.22106142342090607,0.0129012456163764,0.0013741785660386086,0.8834410282568929,4,4,0.4444444444444444,8 6 4 1 10
27,141,0.95535,-0.07490146160125732,0.007870274886954576,0.0012528939405456185,0.8787314694875344,7,7,0.7777777777777778,5 2 7 6 8 1 9 10
28,150,0.9525,-0.225229412317276,0.005201103372706307,0.00032430374994874,0.9546719396688425,8,8,0.8888888888888888,3 4 7 9 6 1 5 8 10
29,159,0.94965,0.39781486988067627,0.0028976634558704165,0.0012130457907915115,0.9249279778295691,9,9,1.0,2 8 7 1 3 9 6 4 5
30,162,0.9487,0.34000396728515625,0.002914058044552803,0.0016896098386496305,0.8938816215280404,2,2,0.2222222222222222,4 8 10
31,168,0.9468,0.4427921175956726,0.002573926583863795,0.0014556734822690487,0.9059246909427019,5,5,0.5555555555555556,1 3 2 8 5 10
32,177,0.94395,-0.15065376460552216,0.001838079304434359,0.0010176234645769,0.9020638197625009,9,9,1.0,8 5 1 3 2 6 4 7 9
33,183,0.94205,-0.19035819172859192,0.0014019461620288591,0.0006162576610222459,0.9287155372280003,5,5,0.5555555555555556,7 1 4 3 2 10
34,187,0.9407833333333333,0.18722215294837952,0.001543317746836692,0.0015102728502824903,0.8339301274555617,3,3,0.3333333333333333,2 6 9 10
35,188,0.9404666666666667,0.0,0.001253166701644659,0.0032505933195352554,0.755452067235498,0,0,0.0,10
36,194,0.9385666666666667,0.007471457123756409,0.0010824099008459598,0.002228441182523966,0.8576041444011437,5,5,0.5555555555555556,2 3 8 7 6 10
37,200,0.9366666666666666,-0.2206295132637024,0.0011663424860065181,0.001152152894064784,0.8742767525360644,5,5,0.5555555555555556,1 8 9 2 5 10
38,201,0.93635,0.0,0.0015549978706985712,0.0023183857556432486,0.8213479642675443,0,0,0.0,10
39,209,0.9338166666666666,0.008646458387374878,0.0009815650846576318,0.0005896267248317599,0.9428797673597914,7,7,0.7777777777777778,5 1 6 7 4 8 3 10
40,211,0.9331833333333334,0.13519889116287231,0.0007041721837595105,0.003983908332884312,0.7575321177670712,1,1,0.1111111111111111,9 10
41,218,0.9309666666666667,0.4031514525413513,0.0008034124704343932,0.0009127592784352601,0.9076713455240735,6,6,0.6666666666666666,6 5 3 4 1 2 10
42,225,0.92875,-0.11637294292449951,0.0007502614919628416,0.000606491114012897,0.9304069533997286,6,6,0.6666666666666666,3 2 6 1 7 4 10
43,231,0.92685,0.3970809876918793,0.0006422623312876871,0.0008944963337853551,0.9148552877015648,5,5,0.5555555555555556,6 2 4 9 1 10
44,233,0.9262166666666667,0.15316301584243774,0.000755928602302447,0.0036978404968976974,0.7570185112079226,1,1,0.1111111111111111,2 10
45,242,0.9233666666666667,-0.12094151973724365,0.0006755802832129928,0.0002061943378066644,0.9657234065899101,9,9,1.0,3 4 6 5 9 2 8 7 1
46,248,0.9214666666666667,0.026828959584236145,0.0006546404959711557,0.0003287849249318242,0.944094498591956,5,5,0.5555555555555556,8 5 6 1 2 10
47,251,0.9205166666666666,0.40395450592041016,0.0025249952256369093,0.002156833652406931,0.8755835775246092,2,2,0.2222222222222222,4 5 10
48,255,0.91925,-0.01720544695854187,0.0036426918231882155,0.0004930556751787663,0.939367881587371,3,3,0.3333333333333333,4 2 5 10
49,258,0.9183,0.02045898139476776,0.002454066493858894,0.0038897418417036533,0.8226151564771029,2,2,0.2222222222222222,7 2 10
50,264,0.9164,-0.18711048364639282,0.0020520579613124332,0.0006085996283218265,0.925565890232533,5,5,0.5555555555555556,7 4 5 8 3 10
51,273,0.91355,0.43527817726135254,0.0012057246963700487,0.0003408566699363291,0.9391656106915968,8,8,0.8888888888888888,3 1 8 5 7 4 6 2 10
52,275,0.9129166666666667,0.10252518951892853,0.0008818079659249634,0.002220975933596492,0.845628573329993,1,1,0.1111111111111111,7 10
53,277,0.9122833333333333,0.3026158809661865,0.0010021926136687398,0.0022990102879703045,0.8035066326355892,1,1,0.1111111111111111,3 10
54,284,0.9100666666666667,-0.037321776151657104,0.0007697229988739959,0.0012577918823808432,0.8669084116515308,6,6,0.6666666666666666,4 2 3 6 7 1 10
55,285,0.9097500000000001,0.0,0.0005414803163148463,0.002573377685621381,0.7079943261833531,0,0,0.0,10
56,294,0.9069,0.2966666519641876,0.000695346660601596,0.0009142567869275808,0.9300807623921337,8,8,0.8888888888888888,7 1 5 4 6 8 9 3 10
57,303,0.90405,-0.2715943455696106,0.0006133343623433677,0.0009720096131786704,0.940607339923362,9,9,1.0,5 1 8 2 4 7 3 9 6
58,312,0.9012,0.3991244435310364,0.0005003811351747976,0.0005774699384346604,0.936160917851219,9,9,1.0,7 5 4 2 6 1 8 3 9
59,313,0.9008833333333334,0.0,0.0005047305021435022,0.004335587844252586,0.7633276272936244,0,0,0.0,10
60,317,0.8996166666666666,-0.14002341032028198,0.0005515769735211506,0.0013281069695949554,0.8492706471015383,3,3,0.3333333333333333,6 8 1 10
61,319,0.8989833333333334,0.08726166933774948,0.0004886219248874113,0.003720454405993223,0.7640823175240303,1,1,0.1111111111111111,8 10
62,325,0.8970833333333333,0.09343358874320984,0.0005661472387146205,0.0007516673649661243,0.9290193456992525,5,5,0.5555555555555556,6 8 4 7 5 10
63,326,0.8967666666666667,0.0,0.0004569197481032461,0.0047253090888261795,0.6450714768927548,0,0,0.0,10
64,335,0.8939166666666667,0.3978147506713867,0.0004741840821225196,0.0012130457907915115,0.9249279778295691,9,9,1.0,8 5 2 3 7 9 6 1 4
