method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions
random,0,0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0029278669971972704,0.8500404591837125,0.813496134475287,0.9970721330028027,0.8500404591837125,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,
random,0,1,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0031618126668035984,0.8314715555994179,0.7771694165199811,0.9968381873331964,0.8314715555994179,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,
random,0,2,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002705457154661417,0.8537043106435453,0.8127683219850919,0.9972945428453386,0.8537043106435453,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,,,
random,0,3,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.00258811516687274,0.8486830971483916,0.8491102713954395,0.9974118848331273,0.8486830971483916,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,
random,0,4,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.00258811516687274,0.8486830971483916,0.8491102713954395,0.9974118848331273,0.8486830971483916,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,
random,0,5,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0026654109824448824,0.8590301911520476,0.7909125031451552,0.9973345890175551,0.8590301911520476,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,,,
random,0,6,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0026654109824448824,0.8590301911520476,0.7909125031451552,0.9973345890175551,0.8590301911520476,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,,,
random,0,7,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0026654109824448824,0.8590301911520476,0.7909125031451552,0.9973345890175551,0.8590301911520476,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,,,
random,0,8,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002881362335756421,0.8520406975225943,0.7716052496409191,0.9971186376642436,0.8520406975225943,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,,,
random,0,9,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0029278669971972704,0.8500404591837125,0.813496134475287,0.9970721330028027,0.8500404591837125,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,
random,0,10,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0031618126668035984,0.8314715555994179,0.7771694165199811,0.9968381873331964,0.8314715555994179,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,
random,0,11,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.003372988197952509,0.8254801082340657,0.7524831108292741,0.9966270118020475,0.8254801082340657,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,,,
random,0,12,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002705457154661417,0.8537043106435453,0.8127683219850919,0.9972945428453386,0.8537043106435453,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,,,
