method,k_budget,mse_mean,mse_std,ssim_mean,ssim_std,edge_corr_mean,edge_corr_std,k_mean,k_effective_mean,cost_mean,obj_mse_mean,obj_ssim_mean,obj_cost_mean,obj_k_mean,n
Envelope-DQN,1,0.0021548727294430138,0.0007420003418389423,0.8443880916877642,0.0366580582075045,0.8380501509926768,0.057448264056208675,1.0,1.0,0.11111111111111112,0.997845127270557,0.8443880916877642,0.888888888888889,0.888888888888889,10
Envelope-DQN,2,0.0015020741702755913,0.0005981735754977622,0.8979427805117262,0.02999267758046734,0.8725930405524993,0.04533613985756466,2.0,2.0,0.22222222222222224,0.9984979258297244,0.8979427805117262,0.7777777777777778,0.7777777777777778,20
Envelope-DQN,3,0.0009613333552676652,0.0002866659112353666,0.9300589861016012,0.016890252966805346,0.9209165283212251,0.0216579948374835,3.0,3.0,0.3333333333333333,0.9990386666447323,0.9300589861016012,0.6666666666666667,0.6666666666666667,7
Envelope-DQN,4,0.0009531713273775365,0.0003403279379489138,0.9303088411622756,0.020642762370403623,0.9305171112569762,0.02108511861314584,4.0,4.0,0.44444444444444436,0.9990468286726225,0.9303088411622756,0.5555555555555556,0.5555555555555556,7
Envelope-DQN,5,0.0007328833162318915,0.0003656123378322914,0.9463456963564355,0.01969013123229356,0.9398378195000868,0.013910440822836097,5.0,5.0,0.5555555555555556,0.9992671166837681,0.9463456963564355,0.4444444444444444,0.4444444444444444,6
greedy,1,0.002119850122835487,0.0007337938136863073,0.8628724148372957,0.0318809278222906,0.8271455891520544,0.03893141148053092,1.0,1.0,0.11111111111111112,0.9978801498771646,0.8628724148372957,0.888888888888889,0.888888888888889,10
greedy,3,0.0009581359976436943,0.0003129028200987857,0.930801923176942,0.020160353009735125,0.925595755874631,0.016893142439940566,3.0,3.0,0.3333333333333333,0.9990418640023563,0.930801923176942,0.6666666666666667,0.6666666666666667,10
greedy,5,0.0007637017319211736,0.000296908886368669,0.9435048660358655,0.01846023608030857,0.9403412742195734,0.014893892627286845,5.0,5.0,0.5555555555555556,0.9992362982680788,0.9435048660358655,0.4444444444444445,0.4444444444444445,10
random,1,0.0024440977029735224,0.0008415126996236099,0.8367768065699751,0.04177669804690486,0.8016462429241282,0.05295286079447013,1.0,1.0,0.1111111111111111,0.9975559022970265,0.8367768065699751,0.8888888888888888,0.8888888888888888,200
random,3,0.0014866531833831686,0.0005798038305658115,0.8964791801233093,0.03058095572492391,0.8745357654871486,0.040325300652001045,3.0,3.0,0.33333333333333326,0.9985133468166169,0.8964791801233093,0.6666666666666667,0.6666666666666667,200
random,5,0.0011010053903737571,0.0004499512997811252,0.9218930936342989,0.02509008689269593,0.9077662719056271,0.030723293164515865,5.0,5.0,0.5555555555555556,0.9988989946096263,0.9218930936342989,0.4444444444444444,0.4444444444444444,200
top-k energy,1,0.002264357777312398,0.0007562589750891976,0.8472090433553243,0.03546101999654379,0.7915543882234284,0.04507825965033195,1.0,1.0,0.11111111111111112,0.9977356422226876,0.8472090433553243,0.888888888888889,0.888888888888889,10
top-k energy,3,0.001838979119202122,0.00067468149390492,0.8726437203865165,0.041255352285536014,0.819911773947233,0.038099092469795925,3.0,3.0,0.3333333333333333,0.9981610208807978,0.8726437203865165,0.6666666666666667,0.6666666666666667,10
top-k energy,5,0.0015888505731709301,0.000587879177070609,0.8939928435602331,0.03177767841019223,0.8449203633869491,0.0327616806480889,5.0,5.0,0.5555555555555556,0.9984111494268291,0.8939928435602331,0.4444444444444445,0.4444444444444445,10
